"","corr","edges","pval","fdr"
"85",0.734700011382,"Clostridium bornimense_Clostridium pasteurianum",0,0
"86",0.869831375605,"Clostridium botulinum_Clostridium pasteurianum",0,0
"87",0.819808170821,"Clostridium butyricum_Clostridium pasteurianum",0,0
"88",0.828364706207,"Clostridium cellulovorans_Clostridium pasteurianum",0,0
"89",0.712154158038,"Clostridium chauvoei_Clostridium pasteurianum",0,0
"90",0.756598937979,"Clostridium isatidis_Clostridium pasteurianum",0,0
"91",0.823150592003,"Clostridium novyi_Clostridium pasteurianum",0,0
"92",0.821587265903,"Clostridium argentinense_Clostridium saccharobutylicum",0,0
"93",0.846563290422,"Clostridium beijerinckii_Clostridium saccharobutylicum",0,0
"94",0.758521452984,"Clostridium bornimense_Clostridium saccharobutylicum",0,0
"95",0.912765198359,"Clostridium botulinum_Clostridium saccharobutylicum",0,0
"96",0.889007707695,"Clostridium butyricum_Clostridium saccharobutylicum",0,0
"97",0.775154967325,"Clostridium cellulovorans_Clostridium saccharobutylicum",0,0
"98",0.885958100829,"Clostridium chauvoei_Clostridium saccharobutylicum",0,0
"99",0.900388771812,"Clostridium isatidis_Clostridium saccharobutylicum",0,0
"100",0.821510237405,"Clostridium novyi_Clostridium saccharobutylicum",0,0
"101",0.82037697194,"Clostridium pasteurianum_Clostridium saccharobutylicum",0,0
"102",0.842354045478,"Clostridium argentinense_Clostridium saccharoperbutylacetonicum",0,0
"103",0.890568334213,"Clostridium beijerinckii_Clostridium saccharoperbutylacetonicum",0,0
"104",0.815144491246,"Clostridium bornimense_Clostridium saccharoperbutylacetonicum",0,0
"105",0.928760485681,"Clostridium botulinum_Clostridium saccharoperbutylacetonicum",0,0
"106",0.92277513262,"Clostridium butyricum_Clostridium saccharoperbutylacetonicum",0,0
"107",0.807828343546,"Clostridium cellulovorans_Clostridium saccharoperbutylacetonicum",0,0
"108",0.850887040769,"Clostridium chauvoei_Clostridium saccharoperbutylacetonicum",0,0
"109",0.856404324926,"Clostridium isatidis_Clostridium saccharoperbutylacetonicum",0,0
"110",0.870741239484,"Clostridium novyi_Clostridium saccharoperbutylacetonicum",0,0
"111",0.859118237592,"Clostridium pasteurianum_Clostridium saccharoperbutylacetonicum",0,0
"112",0.918480570684,"Clostridium saccharobutylicum_Clostridium saccharoperbutylacetonicum",0,0
"113",0.798909442461,"Clostridium argentinense_Clostridium septicum",0,0
"114",0.785530757354,"Clostridium beijerinckii_Clostridium septicum",0,0
"115",0.757630781485,"Clostridium bornimense_Clostridium septicum",0,0
"116",0.868073312842,"Clostridium botulinum_Clostridium septicum",0,0
"117",0.779297090848,"Clostridium butyricum_Clostridium septicum",0,0
"118",0.720636475244,"Clostridium cellulovorans_Clostridium septicum",0,0
"119",0.924637785206,"Clostridium chauvoei_Clostridium septicum",0,0
"120",0.898112833608,"Clostridium isatidis_Clostridium septicum",0,0
"121",0.740121105424,"Clostridium novyi_Clostridium septicum",0,0
"122",0.670284884051,"Clostridium pasteurianum_Clostridium septicum",0,0
"123",0.833799256526,"Clostridium saccharobutylicum_Clostridium septicum",0,0
"124",0.790309492093,"Clostridium saccharoperbutylacetonicum_Clostridium septicum",0,0
"125",0.579151979762,"Clostridium cellulovorans_Clostridium sp. BNL1100",0,0
"126",0.504459357052,"Clostridium novyi_Clostridium sp. BNL1100",0,0
"127",0.846950439973,"Clostridium argentinense_Clostridium sp. CT4",0,0
"128",0.790137287617,"Clostridium beijerinckii_Clostridium sp. CT4",0,0
"129",0.702930023112,"Clostridium bornimense_Clostridium sp. CT4",0,0
"130",0.845567352477,"Clostridium botulinum_Clostridium sp. CT4",0,0
"131",0.847742922741,"Clostridium butyricum_Clostridium sp. CT4",0,0
"132",0.691304676441,"Clostridium cellulovorans_Clostridium sp. CT4",0,0
"133",0.87403197516,"Clostridium chauvoei_Clostridium sp. CT4",0,0
"134",0.871681386806,"Clostridium isatidis_Clostridium sp. CT4",0,0
"135",0.799415190622,"Clostridium novyi_Clostridium sp. CT4",0,0
"136",0.715149295586,"Clostridium pasteurianum_Clostridium sp. CT4",0,0
"137",0.831265398295,"Clostridium saccharobutylicum_Clostridium sp. CT4",0,0
"138",0.834030180478,"Clostridium saccharoperbutylacetonicum_Clostridium sp. CT4",0,0
"139",0.852780530516,"Clostridium septicum_Clostridium sp. CT4",0,0
"140",0.830138973287,"Clostridium argentinense_Clostridium sp. DL-VIII",0,0
"141",0.881971989513,"Clostridium beijerinckii_Clostridium sp. DL-VIII",0,0
"142",0.781766650085,"Clostridium bornimense_Clostridium sp. DL-VIII",0,0
"143",0.926481735318,"Clostridium botulinum_Clostridium sp. DL-VIII",0,0
"144",0.938539149804,"Clostridium butyricum_Clostridium sp. DL-VIII",0,0
"145",0.820031444477,"Clostridium cellulovorans_Clostridium sp. DL-VIII",0,0
"146",0.798673571961,"Clostridium chauvoei_Clostridium sp. DL-VIII",0,0
"147",0.829539107205,"Clostridium isatidis_Clostridium sp. DL-VIII",0,0
"148",0.850109836264,"Clostridium novyi_Clostridium sp. DL-VIII",0,0
"149",0.84595652725,"Clostridium pasteurianum_Clostridium sp. DL-VIII",0,0
"150",0.876566149808,"Clostridium saccharobutylicum_Clostridium sp. DL-VIII",0,0
"151",0.936011141443,"Clostridium saccharoperbutylacetonicum_Clostridium sp. DL-VIII",0,0
"152",0.784131612976,"Clostridium septicum_Clostridium sp. DL-VIII",0,0
"153",0.81961662678,"Clostridium sp. CT4_Clostridium sp. DL-VIII",0,0
"154",0.617132693785,"Atopobium parvulum_Mogibacterium diversum",0,0
"155",0.698740366822,"Lactobacillus ruminis_[Eubacterium] cellulosolvens",0,0
"156",0.549287506231,"Clostridium sp. BNL1100_[Eubacterium] cellulosolvens",0,0
"157",0.599982161816,"Clostridium argentinense_Hungateiclostridium clariflavum",0,0
"158",0.587628165112,"Clostridium beijerinckii_Hungateiclostridium clariflavum",0,0
