"","row","column","cor","p","fdr"
"68","Bifidobacterium angulatum","Odoribacter splanchnicus",-0.21276585497,0.086,0.263253134169112
"69","Bifidobacterium breve","Odoribacter splanchnicus",-0.13866429518,0.28,0.526249590566656
"70","Bifidobacterium catenulatum","Odoribacter splanchnicus",-0.218193785505,0.092,0.275160802710451
"71","Bifidobacterium longum","Odoribacter splanchnicus",-0.0159490353307,0.894,0.953666480758505
"72","Bifidobacterium pseudocatenulatum","Odoribacter splanchnicus",-0.249847611491,0.055,0.199424960505529
"73","Atopobium parvulum","Odoribacter splanchnicus",-0.370613580622,0.003,0.0269811912225705
"74","Bacteroides caccae","Odoribacter splanchnicus",0.120849038133,0.335,0.58073413897281
"75","Bacteroides cellulosilyticus","Odoribacter splanchnicus",0.32310150932,0.013,0.0781907756813417
"76","Bacteroides fragilis","Odoribacter splanchnicus",0.488032122128,0,0
"77","Bacteroides thetaiotaomicron","Odoribacter splanchnicus",0.31761644895,0.014,0.0826460905349794
"78","Butyricimonas faecalis","Odoribacter splanchnicus",0.4305275837,0,0
"79","Bifidobacterium adolescentis","Porphyromonas asaccharolytica",-0.080219037507,0.51,0.728680278884462
"80","Bifidobacterium angulatum","Porphyromonas asaccharolytica",-0.00948017315149,0.938,0.971261210863485
"81","Bifidobacterium breve","Porphyromonas asaccharolytica",-0.248208560702,0.051,0.190581569521329
"82","Bifidobacterium catenulatum","Porphyromonas asaccharolytica",-0.272948957304,0.025,0.120394460763743
"83","Bifidobacterium longum","Porphyromonas asaccharolytica",-0.129326504277,0.313,0.559412552561906
"84","Bifidobacterium pseudocatenulatum","Porphyromonas asaccharolytica",-0.256791831,0.042,0.168058577405858
"85","Atopobium parvulum","Porphyromonas asaccharolytica",-0.0268348214101,0.846,0.932363007778738
"86","Bacteroides caccae","Porphyromonas asaccharolytica",0.252620128437,0.058,0.206646383110835
"87","Bacteroides cellulosilyticus","Porphyromonas asaccharolytica",0.0942295116622,0.486,0.709675022267464
"88","Bacteroides fragilis","Porphyromonas asaccharolytica",0.0662458715306,0.61,0.795495454545455
"89","Bacteroides thetaiotaomicron","Porphyromonas asaccharolytica",0.114117572242,0.347,0.592408806902707
"90","Butyricimonas faecalis","Porphyromonas asaccharolytica",0.524307497878,0,0
"91","Odoribacter splanchnicus","Porphyromonas asaccharolytica",0.332864597132,0.008,0.0559123020706456
"92","Bifidobacterium adolescentis","Porphyromonas crevioricanis",-0.301739655817,0.017,0.0941109503135552
"93","Bifidobacterium angulatum","Porphyromonas crevioricanis",-0.207535982211,0.116,0.317636840849439
"94","Bifidobacterium breve","Porphyromonas crevioricanis",-0.314019342881,0.016,0.0902289926289926
"95","Bifidobacterium catenulatum","Porphyromonas crevioricanis",-0.386132582456,0.001,0.0112399608227228
"96","Bifidobacterium longum","Porphyromonas crevioricanis",-0.325951788566,0.015,0.0866331152491193
"97","Bifidobacterium pseudocatenulatum","Porphyromonas crevioricanis",-0.333429354881,0.005,0.0400978336827393
