"","row","column","cor","p","fdr"
"60","Bifidobacterium longum","Butyricimonas faecalis",-0.280044940456,0.019,0.0802222222222222
"61","Bifidobacterium pseudocatenulatum","Butyricimonas faecalis",-0.104130616572,0.413,0.613380095768086
"62","Atopobium parvulum","Butyricimonas faecalis",-0.137569348317,0.292,0.497106067349058
"63","Bacteroides caccae","Butyricimonas faecalis",-0.035161349739,0.794,0.886720903075127
"64","Bacteroides cellulosilyticus","Butyricimonas faecalis",0.133223534456,0.284,0.488560035976615
"65","Bacteroides fragilis","Butyricimonas faecalis",0.00533992627306,0.963,0.980254390633316
"66","Bacteroides thetaiotaomicron","Butyricimonas faecalis",0.156670577101,0.221,0.416589356110381
"67","Bifidobacterium adolescentis","Odoribacter splanchnicus",-0.0361410044905,0.784,0.880436833349643
"68","Bifidobacterium angulatum","Odoribacter splanchnicus",-0.1848355047,0.144,0.312036253776435
"69","Bifidobacterium breve","Odoribacter splanchnicus",-0.157502166229,0.23,0.426617100371747
"70","Bifidobacterium catenulatum","Odoribacter splanchnicus",-0.136465165383,0.32,0.526648501362398
"71","Bifidobacterium longum","Odoribacter splanchnicus",-0.132078000685,0.318,0.524409828998419
"72","Bifidobacterium pseudocatenulatum","Odoribacter splanchnicus",-0.0885043879406,0.483,0.672519776753215
"73","Atopobium parvulum","Odoribacter splanchnicus",0.0586610689714,0.643,0.794901217278897
"74","Bacteroides caccae","Odoribacter splanchnicus",0.00446439044857,0.98,0.98965857092573
"75","Bacteroides cellulosilyticus","Odoribacter splanchnicus",0.147794666283,0.242,0.440684227229451
"76","Bacteroides fragilis","Odoribacter splanchnicus",0.151537879012,0.235,0.431773935318604
"77","Bacteroides thetaiotaomicron","Odoribacter splanchnicus",0.153835696617,0.233,0.42975056252009
"78","Butyricimonas faecalis","Odoribacter splanchnicus",0.227087985466,0.062,0.17913192346425
"79","Bifidobacterium adolescentis","Porphyromonas asaccharolytica",0.274600160624,0.031,0.11226128116125
"80","Bifidobacterium angulatum","Porphyromonas asaccharolytica",0.1287689343,0.308,0.514274407100247
"81","Bifidobacterium breve","Porphyromonas asaccharolytica",0.160715028484,0.204,0.396192926045016
"82","Bifidobacterium catenulatum","Porphyromonas asaccharolytica",0.157733277086,0.216,0.410196260135694
"83","Bifidobacterium longum","Porphyromonas asaccharolytica",0.134517610312,0.301,0.506938068682125
"84","Bifidobacterium pseudocatenulatum","Porphyromonas asaccharolytica",0.00857820331823,0.954,0.976985900410494
"85","Atopobium parvulum","Porphyromonas asaccharolytica",0.140302816674,0.266,0.468120840361908
"86","Bacteroides caccae","Porphyromonas asaccharolytica",-0.179553045568,0.167,0.346062116287468
"87","Bacteroides cellulosilyticus","Porphyromonas asaccharolytica",-0.193948222168,0.131,0.293395003903201
"88","Bacteroides fragilis","Porphyromonas asaccharolytica",-0.261178735512,0.046,0.146312638580931
"89","Bacteroides thetaiotaomicron","Porphyromonas asaccharolytica",-0.140160369243,0.261,0.461728996454447
"90","Butyricimonas faecalis","Porphyromonas asaccharolytica",0.175822131896,0.154,0.327036269430052
"91","Odoribacter splanchnicus","Porphyromonas asaccharolytica",0.0996990940413,0.444,0.638034560480842
"92","Bifidobacterium adolescentis","Porphyromonas crevioricanis",0.107335300985,0.395,0.598181578252837
"93","Bifidobacterium angulatum","Porphyromonas crevioricanis",-0.0833574325651,0.494,0.680732949087416
"94","Bifidobacterium breve","Porphyromonas crevioricanis",-0.0491173671481,0.73,0.850074074074074
"95","Bifidobacterium catenulatum","Porphyromonas crevioricanis",-0.00995365800215,0.927,0.963522507019292
"96","Bifidobacterium longum","Porphyromonas crevioricanis",-0.0257323114446,0.848,0.918339907520996
"97","Bifidobacterium pseudocatenulatum","Porphyromonas crevioricanis",-0.0982951905275,0.455,0.647437073775573
"98","Atopobium parvulum","Porphyromonas crevioricanis",0.061914068305,0.649,0.798191404994106
"99","Bacteroides caccae","Porphyromonas crevioricanis",-0.0385604661178,0.778,0.876701492537313
"100","Bacteroides cellulosilyticus","Porphyromonas crevioricanis",-0.164108675051,0.211,0.403707235745248
"101","Bacteroides fragilis","Porphyromonas crevioricanis",-0.0635222969995,0.631,0.787360661085136
"102","Bacteroides thetaiotaomicron","Porphyromonas crevioricanis",0.063305332745,0.632,0.787923085279739
"103","Butyricimonas faecalis","Porphyromonas crevioricanis",0.284276292215,0.031,0.11226128116125
"104","Odoribacter splanchnicus","Porphyromonas crevioricanis",0.328479821788,0.01,0.0508237378210806
"105","Porphyromonas asaccharolytica","Porphyromonas crevioricanis",0.552329202993,0,0
"106","Bifidobacterium adolescentis","Porphyromonas gingivalis",0.107114479329,0.401,0.60289217869776
"107","Bifidobacterium angulatum","Porphyromonas gingivalis",0.0256702501453,0.853,0.92062710429794
"108","Bifidobacterium breve","Porphyromonas gingivalis",-0.0634078934362,0.64,0.792900788081615
"109","Bifidobacterium catenulatum","Porphyromonas gingivalis",-0.0602896763935,0.641,0.793540021574973
"110","Bifidobacterium longum","Porphyromonas gingivalis",-0.106815803455,0.39,0.593507492375017
"111","Bifidobacterium pseudocatenulatum","Porphyromonas gingivalis",-0.142404725824,0.292,0.497106067349058
"112","Atopobium parvulum","Porphyromonas gingivalis",0.290756559477,0.026,0.0995914552736983
"113","Bacteroides caccae","Porphyromonas gingivalis",0.0469557937686,0.72,0.845031703824913
"114","Bacteroides cellulosilyticus","Porphyromonas gingivalis",-0.167542298253,0.219,0.413838959328174
"115","Bacteroides fragilis","Porphyromonas gingivalis",0.0678476630155,0.593,0.757656201291472
"116","Bacteroides thetaiotaomicron","Porphyromonas gingivalis",-0.00953788398388,0.957,0.977963668744435
"117","Butyricimonas faecalis","Porphyromonas gingivalis",0.172923950255,0.189,0.376099185018207
"118","Odoribacter splanchnicus","Porphyromonas gingivalis",0.244719920147,0.046,0.146312638580931
"119","Porphyromonas asaccharolytica","Porphyromonas gingivalis",0.538565628742,0,0
"120","Porphyromonas crevioricanis","Porphyromonas gingivalis",0.803025150132,0,0
"121","Bifidobacterium adolescentis","Prevotella intermedia",0.081252071935,0.544,0.72181107642502
"122","Bifidobacterium angulatum","Prevotella intermedia",-0.121835252385,0.348,0.553520166320166
"123","Bifidobacterium breve","Prevotella intermedia",-0.239829604295,0.076,0.204208850386326
"124","Bifidobacterium catenulatum","Prevotella intermedia",-0.137442398682,0.277,0.481133948842137
"125","Bifidobacterium longum","Prevotella intermedia",-0.0285214782384,0.811,0.896804393910195
"126","Bifidobacterium pseudocatenulatum","Prevotella intermedia",-0.170629154992,0.182,0.366426666666667
"127","Atopobium parvulum","Prevotella intermedia",0.353309201163,0.001,0.00914422310756972
"128","Bacteroides caccae","Prevotella intermedia",0.0972841377559,0.461,0.652093676814988
"129","Bacteroides cellulosilyticus","Prevotella intermedia",-0.0836596342202,0.521,0.703825309005297
"130","Bacteroides fragilis","Prevotella intermedia",0.0876715735392,0.493,0.679926451147699
"131","Bacteroides thetaiotaomicron","Prevotella intermedia",0.0318082359888,0.814,0.898563293574452
"132","Butyricimonas faecalis","Prevotella intermedia",0.0133813521093,0.934,0.96703211836882
"133","Odoribacter splanchnicus","Prevotella intermedia",0.16863576521,0.182,0.366426666666667
"134","Porphyromonas asaccharolytica","Prevotella intermedia",0.343923330037,0.003,0.0213176470588235
"135","Porphyromonas crevioricanis","Prevotella intermedia",0.543159699327,0,0
"136","Porphyromonas gingivalis","Prevotella intermedia",0.643460803549,0,0
"137","Bifidobacterium adolescentis","Prevotella scopos",0.0233031523627,0.84,0.913123046319977
"138","Bifidobacterium angulatum","Prevotella scopos",-0.112661106999,0.4,0.602335651489306
"139","Bifidobacterium breve","Prevotella scopos",-0.220272454888,0.099,0.244065306122449
"140","Bifidobacterium catenulatum","Prevotella scopos",-0.151287072687,0.233,0.42975056252009
"141","Bifidobacterium longum","Prevotella scopos",-0.0837960841963,0.527,0.708594258933802
"142","Bifidobacterium pseudocatenulatum","Prevotella scopos",-0.201464831872,0.122,0.280744335271706
"143","Atopobium parvulum","Prevotella scopos",0.364831481447,0,0
"144","Bacteroides caccae","Prevotella scopos",-0.00259026477764,0.986,0.993706507420743
"145","Bacteroides cellulosilyticus","Prevotella scopos",-0.147992053534,0.266,0.468120840361908
"146","Bacteroides fragilis","Prevotella scopos",0.00122911100887,0.991,0.996295751204555
"147","Bacteroides thetaiotaomicron","Prevotella scopos",-0.00864036637676,0.955,0.977312288211165
"148","Butyricimonas faecalis","Prevotella scopos",-0.056949213301,0.664,0.807637943826179
"149","Odoribacter splanchnicus","Prevotella scopos",0.0709242601841,0.562,0.736245662100457
"150","Porphyromonas asaccharolytica","Prevotella scopos",0.216542205881,0.091,0.231555654101996
"151","Porphyromonas crevioricanis","Prevotella scopos",0.572829133321,0,0
"152","Porphyromonas gingivalis","Prevotella scopos",0.61748271396,0,0
"153","Prevotella intermedia","Prevotella scopos",0.877406896302,0,0
"154","Bifidobacterium adolescentis","Alistipes dispar",0.0635712519062,0.66,0.804734381640459
"155","Bifidobacterium angulatum","Alistipes dispar",-0.0409264801613,0.762,0.868392452830189
"156","Bifidobacterium breve","Alistipes dispar",-0.0743935075743,0.596,0.759966222222222
"157","Bifidobacterium catenulatum","Alistipes dispar",-0.112036059088,0.42,0.618176221623701
"158","Bifidobacterium longum","Alistipes dispar",0.0841991579821,0.509,0.693904015205512
"159","Bifidobacterium pseudocatenulatum","Alistipes dispar",-0.0443935443383,0.722,0.84642680559812
"160","Atopobium parvulum","Alistipes dispar",0.0967225125344,0.476,0.665275362318841
"161","Bacteroides caccae","Alistipes dispar",-0.0020394883844,0.988,0.994761186173013
"162","Bacteroides cellulosilyticus","Alistipes dispar",-0.190861975659,0.134,0.297443713733075
"163","Bacteroides fragilis","Alistipes dispar",-0.0811180661804,0.522,0.704429915333961
"164","Bacteroides thetaiotaomicron","Alistipes dispar",-0.0144869371507,0.905,0.95064347826087
"165","Butyricimonas faecalis","Alistipes dispar",0.285915703775,0.027,0.10212656558998
"166","Odoribacter splanchnicus","Alistipes dispar",0.30263969697,0.02,0.0833405954974582
"167","Porphyromonas asaccharolytica","Alistipes dispar",0.22917915442,0.066,0.186647609659931
"168","Porphyromonas crevioricanis","Alistipes dispar",0.302269375699,0.018,0.0771063829787234
"169","Porphyromonas gingivalis","Alistipes dispar",0.336894505156,0.007,0.0396309817464233
"170","Prevotella intermedia","Alistipes dispar",0.219878543945,0.092,0.233789193976971
"171","Prevotella scopos","Alistipes dispar",0.219942507445,0.082,0.214896551724138
"172","Bifidobacterium adolescentis","Alistipes finegoldii",0.083449870604,0.523,0.705447578749412
"173","Bifidobacterium angulatum","Alistipes finegoldii",-0.0917362354398,0.485,0.673832929782082
"174","Bifidobacterium breve","Alistipes finegoldii",0.154338590785,0.236,0.432848969154547
"175","Bifidobacterium catenulatum","Alistipes finegoldii",-0.008785709879,0.944,0.972996587030717
"176","Bifidobacterium longum","Alistipes finegoldii",0.0592166195962,0.664,0.807637943826179
"177","Bifidobacterium pseudocatenulatum","Alistipes finegoldii",0.173073656427,0.174,0.35511719722568
"178","Atopobium parvulum","Alistipes finegoldii",-0.121150104014,0.343,0.548991352859135
"179","Bacteroides caccae","Alistipes finegoldii",0.0149654184451,0.926,0.963093710349828
"180","Bacteroides cellulosilyticus","Alistipes finegoldii",-0.00771820629421,0.935,0.967630985661466
"181","Bacteroides fragilis","Alistipes finegoldii",0.00405230651737,0.982,0.990980654238481
"182","Bacteroides thetaiotaomicron","Alistipes finegoldii",0.226690315888,0.066,0.186647609659931
"183","Butyricimonas faecalis","Alistipes finegoldii",0.242282264133,0.055,0.16536023054755
"184","Odoribacter splanchnicus","Alistipes finegoldii",0.434895107325,0.002,0.0156348773841962
"185","Porphyromonas asaccharolytica","Alistipes finegoldii",0.161670877361,0.201,0.392492087799898
"186","Porphyromonas crevioricanis","Alistipes finegoldii",0.31119313088,0.019,0.0802222222222222
"187","Porphyromonas gingivalis","Alistipes finegoldii",0.266398085201,0.038,0.128336668628605
"188","Prevotella intermedia","Alistipes finegoldii",0.0168437163172,0.9,0.947733529087906
"189","Prevotella scopos","Alistipes finegoldii",-0.0530105961773,0.692,0.82748692299677
"190","Alistipes dispar","Alistipes finegoldii",0.517054596408,0,0
"191","Bifidobacterium adolescentis","Alistipes megaguti",0.000386840160674,0.998,0.99895752289577
"192","Bifidobacterium angulatum","Alistipes megaguti",-0.0266058062056,0.826,0.905451905626134
"193","Bifidobacterium breve","Alistipes megaguti",-0.0533499395101,0.672,0.813660265878878
"194","Bifidobacterium catenulatum","Alistipes megaguti",0.0304497698781,0.826,0.905451905626134
"195","Bifidobacterium longum","Alistipes megaguti",0.0777206652937,0.56,0.734967978042086
"196","Bifidobacterium pseudocatenulatum","Alistipes megaguti",0.103927215198,0.427,0.62375916496945
"197","Atopobium parvulum","Alistipes megaguti",-0.119024062071,0.382,0.585995455153054
"198","Bacteroides caccae","Alistipes megaguti",-0.0264191574299,0.827,0.905942344406262
"199","Bacteroides cellulosilyticus","Alistipes megaguti",-0.146779291997,0.25,0.450251098556183
"200","Bacteroides fragilis","Alistipes megaguti",-0.21141170497,0.106,0.255504305818105
"201","Bacteroides thetaiotaomicron","Alistipes megaguti",-0.118489273374,0.362,0.566059681155471
