"","row","column","cor","p","fdr"
"69","Bifidobacterium breve","Odoribacter splanchnicus",-0.365755144978,0.009,0.0402666666666667
"70","Bifidobacterium catenulatum","Odoribacter splanchnicus",-0.22919927034,0.12,0.265136696187909
"71","Bifidobacterium longum","Odoribacter splanchnicus",-0.212839877081,0.146,0.304248411113129
"72","Bifidobacterium pseudocatenulatum","Odoribacter splanchnicus",-0.33546326732,0.024,0.0829590361445783
"73","Atopobium parvulum","Odoribacter splanchnicus",-0.364728617745,0.007,0.0334577259475219
"74","Bacteroides caccae","Odoribacter splanchnicus",0.54231797891,0,0
"75","Bacteroides cellulosilyticus","Odoribacter splanchnicus",0.622420849999,0,0
"76","Bacteroides fragilis","Odoribacter splanchnicus",0.645280881319,0,0
"77","Bacteroides thetaiotaomicron","Odoribacter splanchnicus",0.750930594473,0,0
"78","Butyricimonas faecalis","Odoribacter splanchnicus",0.829056447342,0,0
"79","Bifidobacterium adolescentis","Porphyromonas asaccharolytica",0.0250762252237,0.853,0.924627184282611
"80","Bifidobacterium angulatum","Porphyromonas asaccharolytica",-0.013425243975,0.931,0.965406704617331
"81","Bifidobacterium breve","Porphyromonas asaccharolytica",-0.174944165122,0.255,0.441851124867885
"82","Bifidobacterium catenulatum","Porphyromonas asaccharolytica",-0.0454097308116,0.757,0.867085737099511
"83","Bifidobacterium longum","Porphyromonas asaccharolytica",-0.172145078112,0.25,0.436416184971098
"84","Bifidobacterium pseudocatenulatum","Porphyromonas asaccharolytica",-0.0915554599533,0.51,0.686701865540303
"85","Atopobium parvulum","Porphyromonas asaccharolytica",-0.163323228784,0.264,0.45111137581894
"86","Bacteroides caccae","Porphyromonas asaccharolytica",0.290756450733,0.037,0.114915290933694
"87","Bacteroides cellulosilyticus","Porphyromonas asaccharolytica",0.361053900851,0.015,0.0592156862745098
"88","Bacteroides fragilis","Porphyromonas asaccharolytica",0.269167254847,0.056,0.155268422324233
"89","Bacteroides thetaiotaomicron","Porphyromonas asaccharolytica",0.263513473087,0.065,0.172871378910776
"90","Butyricimonas faecalis","Porphyromonas asaccharolytica",0.543631991369,0,0
"91","Odoribacter splanchnicus","Porphyromonas asaccharolytica",0.515852782401,0,0
