"","row","column","cor","p","fdr"
"71","Bifidobacterium longum","Odoribacter splanchnicus",-0.0264582235742,0.657,0.759747279322854
"72","Bifidobacterium pseudocatenulatum","Odoribacter splanchnicus",-0.1591387998,0.008,0.0239332638164755
"73","Atopobium parvulum","Odoribacter splanchnicus",-0.273019607114,0,0
"74","Bacteroides caccae","Odoribacter splanchnicus",0.29270216627,0,0
"75","Bacteroides cellulosilyticus","Odoribacter splanchnicus",0.338725440667,0,0
"76","Bacteroides fragilis","Odoribacter splanchnicus",0.21079957607,0,0
"77","Bacteroides thetaiotaomicron","Odoribacter splanchnicus",0.146404301985,0.014,0.0382169362511893
"78","Butyricimonas faecalis","Odoribacter splanchnicus",0.428855493074,0,0
"79","Bifidobacterium adolescentis","Porphyromonas asaccharolytica",0.185584123477,0.003,0.0102433799464445
"80","Bifidobacterium angulatum","Porphyromonas asaccharolytica",0.122700421977,0.043,0.0957818322981366
"81","Bifidobacterium breve","Porphyromonas asaccharolytica",-0.261132693857,0,0
"82","Bifidobacterium catenulatum","Porphyromonas asaccharolytica",-0.107686647801,0.081,0.158898461538462
"83","Bifidobacterium longum","Porphyromonas asaccharolytica",-0.122186329236,0.053,0.113074549172709
"84","Bifidobacterium pseudocatenulatum","Porphyromonas asaccharolytica",-0.10252287092,0.097,0.183995371900826
"85","Atopobium parvulum","Porphyromonas asaccharolytica",-0.0430322687262,0.465,0.595972749609113
"86","Bacteroides caccae","Porphyromonas asaccharolytica",0.0355357496745,0.547,0.6686591393268
"87","Bacteroides cellulosilyticus","Porphyromonas asaccharolytica",0.0916830938249,0.168,0.280187182095626
"88","Bacteroides fragilis","Porphyromonas asaccharolytica",-0.118249635309,0.055,0.116453874538745
"89","Bacteroides thetaiotaomicron","Porphyromonas asaccharolytica",-0.153459302027,0.008,0.0239332638164755
"90","Butyricimonas faecalis","Porphyromonas asaccharolytica",0.323912545401,0,0
"91","Odoribacter splanchnicus","Porphyromonas asaccharolytica",0.112439850441,0.06,0.12487486398259
"92","Bifidobacterium adolescentis","Porphyromonas crevioricanis",0.0813134095138,0.183,0.299245939013964
"93","Bifidobacterium angulatum","Porphyromonas crevioricanis",0.0375517651118,0.541,0.663515656727584
"94","Bifidobacterium breve","Porphyromonas crevioricanis",-0.243388697683,0.001,0.00383941117430579
"95","Bifidobacterium catenulatum","Porphyromonas crevioricanis",-0.204327541857,0.002,0.00714792899408284
"96","Bifidobacterium longum","Porphyromonas crevioricanis",-0.118284117341,0.042,0.0939006428988895
"97","Bifidobacterium pseudocatenulatum","Porphyromonas crevioricanis",-0.178242383322,0.002,0.00714792899408284
"98","Atopobium parvulum","Porphyromonas crevioricanis",-0.0428778060071,0.523,0.648158531317495
"99","Bacteroides caccae","Porphyromonas crevioricanis",0.142368239646,0.03,0.0713681592039801
"100","Bacteroides cellulosilyticus","Porphyromonas crevioricanis",0.176424877026,0.007,0.021410447761194
"101","Bacteroides fragilis","Porphyromonas crevioricanis",0.0405639399585,0.521,0.646377945945946
"102","Bacteroides thetaiotaomicron","Porphyromonas crevioricanis",0.0833092003143,0.2,0.319265544582
"103","Butyricimonas faecalis","Porphyromonas crevioricanis",0.454490561513,0,0
"104","Odoribacter splanchnicus","Porphyromonas crevioricanis",0.214862803184,0,0
"105","Porphyromonas asaccharolytica","Porphyromonas crevioricanis",0.681759791346,0,0
"106","Bifidobacterium adolescentis","Porphyromonas gingivalis",0.0263889765057,0.649,0.753533387292594
"107","Bifidobacterium angulatum","Porphyromonas gingivalis",-0.00464774656213,0.941,0.963071078212789
"108","Bifidobacterium breve","Porphyromonas gingivalis",-0.22709280919,0,0
"109","Bifidobacterium catenulatum","Porphyromonas gingivalis",-0.199047576245,0.004,0.0132059838895282
"110","Bifidobacterium longum","Porphyromonas gingivalis",-0.121364333046,0.056,0.118222222222222
"111","Bifidobacterium pseudocatenulatum","Porphyromonas gingivalis",-0.134385725923,0.024,0.0596155844155844
"112","Atopobium parvulum","Porphyromonas gingivalis",-0.0223161895394,0.756,0.835100202136876
"113","Bacteroides caccae","Porphyromonas gingivalis",0.195227148232,0.001,0.00383941117430579
"114","Bacteroides cellulosilyticus","Porphyromonas gingivalis",0.170090120504,0.008,0.0239332638164755
"115","Bacteroides fragilis","Porphyromonas gingivalis",0.214341926237,0,0
"116","Bacteroides thetaiotaomicron","Porphyromonas gingivalis",0.0969413575082,0.123,0.221280451481423
"117","Butyricimonas faecalis","Porphyromonas gingivalis",0.336085046473,0,0
"118","Odoribacter splanchnicus","Porphyromonas gingivalis",0.231897060106,0,0
"119","Porphyromonas asaccharolytica","Porphyromonas gingivalis",0.636283466543,0,0
"120","Porphyromonas crevioricanis","Porphyromonas gingivalis",0.781460923872,0,0
"121","Bifidobacterium adolescentis","Prevotella intermedia",0.0897342346186,0.167,0.278803025894676
"122","Bifidobacterium angulatum","Prevotella intermedia",0.157896771353,0.008,0.0239332638164755
"123","Bifidobacterium breve","Prevotella intermedia",-0.25978571987,0,0
"124","Bifidobacterium catenulatum","Prevotella intermedia",-0.175315401855,0.005,0.0160011154489682
"125","Bifidobacterium longum","Prevotella intermedia",-0.168821582506,0.002,0.00714792899408284
"126","Bifidobacterium pseudocatenulatum","Prevotella intermedia",-0.167627680876,0.007,0.021410447761194
"127","Atopobium parvulum","Prevotella intermedia",0.0688446736387,0.247,0.37474510840825
"128","Bacteroides caccae","Prevotella intermedia",-0.00340402973583,0.949,0.967634295868503
"129","Bacteroides cellulosilyticus","Prevotella intermedia",-0.0544929309153,0.38,0.513588505476387
"130","Bacteroides fragilis","Prevotella intermedia",-0.0621592049184,0.328,0.460781980658587
"131","Bacteroides thetaiotaomicron","Prevotella intermedia",-0.0879055406669,0.16,0.270182460270747
"132","Butyricimonas faecalis","Prevotella intermedia",0.285299413641,0,0
"133","Odoribacter splanchnicus","Prevotella intermedia",0.0964243648984,0.123,0.221280451481423
"134","Porphyromonas asaccharolytica","Prevotella intermedia",0.669742916648,0,0
"135","Porphyromonas crevioricanis","Prevotella intermedia",0.684224068239,0,0
"136","Porphyromonas gingivalis","Prevotella intermedia",0.689711737313,0,0
"137","Bifidobacterium adolescentis","Prevotella scopos",0.089422444554,0.15,0.257194083370686
"138","Bifidobacterium angulatum","Prevotella scopos",0.129183437208,0.032,0.0752833128331283
"139","Bifidobacterium breve","Prevotella scopos",-0.29354215949,0,0
"140","Bifidobacterium catenulatum","Prevotella scopos",-0.181563483424,0.003,0.0102433799464445
"141","Bifidobacterium longum","Prevotella scopos",-0.172575600922,0.002,0.00714792899408284
"142","Bifidobacterium pseudocatenulatum","Prevotella scopos",-0.187474662371,0.004,0.0132059838895282
"143","Atopobium parvulum","Prevotella scopos",0.0728887516307,0.238,0.364609264450674
"144","Bacteroides caccae","Prevotella scopos",-0.0498911353828,0.418,0.550869085898025
"145","Bacteroides cellulosilyticus","Prevotella scopos",-0.0487314508964,0.436,0.568389867090765
"146","Bacteroides fragilis","Prevotella scopos",-0.0938603092891,0.124,0.222590958861254
"147","Bacteroides thetaiotaomicron","Prevotella scopos",-0.0942428981332,0.135,0.237107438016529
"148","Butyricimonas faecalis","Prevotella scopos",0.299647247441,0,0
"149","Odoribacter splanchnicus","Prevotella scopos",0.0458372267496,0.468,0.598881355932203
"150","Porphyromonas asaccharolytica","Prevotella scopos",0.589609095464,0,0
"151","Porphyromonas crevioricanis","Prevotella scopos",0.679926267283,0,0
"152","Porphyromonas gingivalis","Prevotella scopos",0.601722746054,0,0
"153","Prevotella intermedia","Prevotella scopos",0.842709209865,0,0
"154","Bifidobacterium adolescentis","Alistipes dispar",0.141860726565,0.03,0.0713681592039801
"155","Bifidobacterium angulatum","Alistipes dispar",-0.00187955483088,0.972,0.98227122226136
"156","Bifidobacterium breve","Alistipes dispar",-0.135979038847,0.021,0.0533531104715519
"157","Bifidobacterium catenulatum","Alistipes dispar",-0.044379120654,0.488,0.616839740059478
"158","Bifidobacterium longum","Alistipes dispar",-0.0683730619091,0.292,0.423211922202576
"159","Bifidobacterium pseudocatenulatum","Alistipes dispar",0.00624869808665,0.935,0.959497451488867
"160","Atopobium parvulum","Alistipes dispar",-0.300572537141,0,0
"161","Bacteroides caccae","Alistipes dispar",0.129517101963,0.028,0.067520067241017
"162","Bacteroides cellulosilyticus","Alistipes dispar",0.239228366454,0,0
"163","Bacteroides fragilis","Alistipes dispar",-0.0628528302468,0.297,0.427864925935225
"164","Bacteroides thetaiotaomicron","Alistipes dispar",0.0314462349396,0.585,0.700559323802567
"165","Butyricimonas faecalis","Alistipes dispar",0.362081644986,0,0
"166","Odoribacter splanchnicus","Alistipes dispar",0.410706338717,0,0
"167","Porphyromonas asaccharolytica","Alistipes dispar",0.175934390766,0,0
