DATASET_GRADIENT
SEPARATOR SPACE
Exophiala_sideris 2
Penicillium_brasilianum 2
Parastagonospora_nodorum 2
Sphaerobolus_stellatus 2
Mucor_circinelloides 2
Trichophyton_mentagrophytes 2
Candida_arabinofermentans 2
Pseudocercospora_eumusae 2
Elaphomyces_granulatus 2
Fonsecaea_erecta 2
Erysiphe_pulchra 2
Candida_glabrata 2
Candida_dubliniensis 2
Cryptococcus_wingfieldii 2
Sporothrix_insectorum 2
Pseudogymnoascus_sp._VKM_F-4518_FW-2643 2
Exophiala_oligosperma 3
Rutstroemia_sp._NJR-2017a_BVV2 2
Penicillium_antarcticum 2
Aspergillus_fischeri 2
Fomitopsis_pinicola 2
Pyrenophora_teres 2
Naumovozyma_dairenensis 2
Malassezia_globosa 2
Endocarpon_pusillum 2
Lentinula_edodes 2
Anncaliia_algerae 2
Botrytis_cinerea 2
