DATASET_GRADIENT
SEPARATOR SPACE
DATASET_LABEL CHI
COLOR #008000
STRIP_WIDTH 60
MARGIN 0
BORDER_WIDTH 2
BORDER_COLOR #000000
COLOR_MIN #36BCCB
COLOR_MAX #FF6836
USE_MID_COLOR 1
COLOR_MID #ffffff
SHOW_INTERNAL 1

DATA
Lachancea_dasiensis 2
Aspergillus_nomiae 2
Paracoccidioides_brasiliensis 1
Penicillium_camemberti 2
Malassezia_vespertilionis 2
Enterocytozoon_bieneusi 2
Pyrrhoderma_noxium 2
Tremella_mesenterica 2
Microbotryum_intermedium 2
Penicillium_solitum 2
Pseudogymnoascus_sp._VKM_F-4517_FW-2822 2
Pseudogymnoascus_sp._VKM_F-4520_FW-2644 2
Suillus_luteus 2
Rhizopus_delemar 2
Hanseniaspora_uvarum 2
Rhynchosporium_secalis 2
Coniophora_puteana 2
Lipomyces_starkeyi 2
Fusarium_proliferatum 2
Sistotremastrum_suecicum 2
Neocallimastix_californiae 1
Ascosphaera_apis 2
Wickerhamomyces_anomalus 2
Schizosaccharomyces_octosporus 2
Cryptococcus_gattii_VGII 2
Aspergillus_aculeatinus 2
Aspergillus_clavatus 2
Piromyces_sp._E2 1
Brettanomyces_bruxellensis 1
Aspergillus_niger 2
Candida_auris 2
Wallemia_ichthyophaga 2
Sporisorium_reilianum 2
Hesseltinella_vesiculosa 2
Cercospora_zeina 2
Kuraishia_capsulata 2
Hepatospora_eriocheir 2
Grosmannia_clavigera 2
Colletotrichum_orbiculare 1
Rhizophagus_irregularis 2
Enterospora_canceri 2
Schizophyllum_commune 2
Gelatoporia_subvermispora 2
Armillaria_solidipes 2
Anaeromyces_robustus 1
Saccharomyces_arboricola 2
Sclerotinia_borealis 2
Cryptococcus_depauperatus 2
Colletotrichum_gloeosporioides 2
Ceratocystis_platani 2
Kwoniella_mangrovensis 2
Exophiala_xenobiotica 2
Trichophyton_violaceum 2
Neofusicoccum_parvum 2
Tuber_melanosporum 1
Peniophora_sp._CONT 2
Coniosporium_apollinis 2
Jaminaea_rosea 2
Pseudocercospora_musae 2
Tilletia_walkeri 2
Leucoagaricus_sp._SymC.cos 2
Edhazardia_aedis 1
Emmonsia_sp._CAC-2015a 2
Ophiocordyceps_camponoti-rufipedis 2
Paracoccidioides_lutzii 1
Aspergillus_ochraceoroseus 2
Trichoderma_harzianum 2
Puccinia_coronata 2
Cyberlindnera_fabianii 2
Capronia_epimyces 2
Macrophomina_phaseolina 2
Sporisorium_graminicola 2
Batrachochytrium_salamandrivorans 2
Penicillium_steckii 2
Pseudogymnoascus_sp._VKM_F-3557 2
Zymoseptoria_brevis 2
Tetrapisispora_phaffii 2
Fusarium_fujikuroi 2
Marssonina_brunnea 2
Kwoniella_heveanensis 2
Vanderwaltozyma_polyspora 2
Kwoniella_dejecticola 2
Purpureocillium_lilacinum 2
Clohesyomyces_aquaticus 2
Aspergillus_rambellii 3
Bipolaris_oryzae 1
Rhizopus_microsporus 2
Enterocytozoon_hepatopenaei 1
Aspergillus_fumigatus 2
Dacryopinax_primogenitus 2
Pneumocystis_carinii 1
Wallemia_mellicola 2
Elsinoe_australis 2
Pseudoloma_neurophilia 2
Hortaea_werneckii 2
Pichia_membranifaciens 2
Aspergillus_ruber 2
Penicillium_digitatum 2
Coccidioides_immitis 2
Exserohilum_turcicum 2
Komagataella_pastoris 2
Colletotrichum_higginsianum 2
Saccharomyces_paradoxus 2
Nadsonia_fulvescens 2
