,AUS,CHI,FRA,GER,JAP,Average
AUS,0.843452381,0.633133133,0.757655428,0.795128205,0.585487507,0.722971331
CHI,0.720324362,0.815119048,0.779616455,0.739871795,0.566926094,0.724371551
FRA,0.756901311,0.747872873,0.86031746,0.671282051,0.560687483,0.719412236
GER,0.749309869,0.601976977,0.661769255,0.868849206,0.566956978,0.689772457
JAP,0.687888199,0.618618619,0.588308073,0.592051282,0.647264615,0.626826158
Average,0.751575224,0.68334413,0.729533334,0.733436508,0.585464536,0.807000542
LODO,0.826086957,0.733858859,0.814568512,0.740641026,0.608310942,0.744693259
