,AUS_CRC,AUS_CTR,CHI_CRC,CHI_CTR,FRA_CRC,FRA_CTR,GER_CRC,GER_CTR,JAP_CRC,JAP_CTR
Ascomycota,68.22613307,67.11749275,67.95016606,67.7434928,67.42779904,64.63212232,67.17681591,68.43643095,58.91804289,56.89244171
Basidiomycota,16.25758883,17.37820516,16.4955958,15.5002244,16.30801892,16.58078765,18.56543681,18.54556006,14.45657095,14.00978762
Blastocladiomycota,0.611040594,0.54998522,0.868864879,0.821335844,0.704989031,0.539037067,0.921318135,0.988366871,0.981653298,0.9525575
Chytridiomycota,3.4029177,3.310150988,3.390474244,3.852623169,3.509290073,4.345739909,2.895565025,2.576176189,2.558441966,2.408027131
Cryptomycota,0.194089465,0.209578784,0.142932167,0.150493306,0.166863942,0.224033369,0.167288846,0.142704372,0.121911165,0.116363011
Microsporidia,3.752012979,3.596681765,3.356229584,3.647958257,3.179378293,3.975778988,2.762713875,2.440210807,2.10104172,1.963043284
Mucoromycota,6.961186472,7.247871629,7.163924934,7.626517721,8.061854075,8.933166503,6.95305225,6.350657783,20.37927103,23.19977468
Zoopagomycota,0.595030887,0.590033708,0.631812335,0.657354501,0.641806625,0.769334189,0.557809155,0.519892963,0.483066978,0.458005063
